packing_id,path,seed_group,N,alpha_nominal,L_mean,d,alpha_actual,n_contacts,Z,R_over_l,ebar0,ent_pairs,gbar_t,gbar_r,astar_finite
"37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0050-Scale1","assets/initial-configs/37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0050-Scale1/x_relaxed.txt","37,178,56",500,50,1.0,0.02,50.0,1263,5.052,0.48052,0.151686,124750,,,
"37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0100-Scale1","assets/initial-configs/37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0100-Scale1/x_relaxed.txt","37,178,56",500,100,1.0,0.01,100.0,1347,5.388,0.32512,0.263742,124750,,,
"37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0150-Scale1","assets/initial-configs/37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0150-Scale1/x_relaxed.txt","37,178,56",500,150,1.0,0.006666666666666667,150.0,1306,5.224,0.25344,0.325333,124750,,,
"37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0300-Scale1","assets/initial-configs/37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0300-Scale1/x_relaxed.txt","37,178,56",500,300,1.0,0.0033333333333333335,300.0,1082,4.328,0.14531,0.409022,124750,,,
"37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0500-Scale1","assets/initial-configs/37,178,56/2025-02-16_16_EntangledRelaxedPacking-N0500-AR0500-Scale1/x_relaxed.txt","37,178,56",500,500,1.0,0.002,500.0,958,3.832,0.09455,0.442901,124750,,,
"37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0050-Scale1","assets/initial-configs/37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0050-Scale1/x_relaxed.txt","37,178,56",200,50,1.0,0.02,50.0,459,4.59,0.37282,0.221417,19900,,,
"37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0100-Scale1","assets/initial-configs/37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0100-Scale1/x_relaxed.txt","37,178,56",200,100,1.0,0.01,100.0,462,4.62,0.24766,0.326767,19900,,,
"37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0150-Scale1","assets/initial-configs/37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0150-Scale1/x_relaxed.txt","37,178,56",200,150,1.0,0.006666666666666667,150.0,424,4.24,0.17718,0.376303,19900,,,
"37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0300-Scale1","assets/initial-configs/37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0300-Scale1/x_relaxed.txt","37,178,56",200,300,1.0,0.0033333333333333335,300.0,409,4.09,0.09698,0.435119,19900,,,
"37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0500-Scale1","assets/initial-configs/37,178,56/2025-02-16_17_EntangledRelaxedPacking-N0200-AR0500-Scale1/x_relaxed.txt","37,178,56",200,500,1.0,0.002,500.0,365,3.65,0.06509,0.458068,19900,,,
