frame,rods,integrate_ms,sleep_ms,broadphase_ms,warmstart_ms,buildIslands_ms,solve_ms,floorSolve_ms,posCorrect_ms,pbcWrap_ms,render_ms,contacts,islands
0,100,0,0,0,0,0,0,0,0,0,229.363,0,0
1,100,1.45112,0.165584,98.6238,12.4957,75.962,70.1266,0,0.414293,0.416916,0.204,151,1
2,100,1.30433,0.141211,89.0713,9.77434,69.438,64.907,0,0.286791,0.377292,0.177125,117,1
3,100,1.30646,0.143337,90.2919,7.31133,87.8317,83.9384,0,0.187418,0.382083,0.174584,82,8
4,100,1.28463,0.142422,89.8646,5.34204,86.3768,82.781,0,0.130709,0.37817,0.181208,60,9
5,100,1.3045,0.144334,91.3059,4.24446,75.9843,72.6985,0,0.089501,0.384207,0.176167,51,12
6,100,1.28529,0.142043,89.627,3.35941,68.0182,65.1432,0,0.065957,0.37996,0.172542,42,12
7,100,1.29988,0.143419,88.4254,2.64246,68.4555,66.047,0,0.046877,0.383873,0.171417,33,12
8,100,1.28142,0.141501,88.9886,2.26338,55.1445,52.9526,0,0.038874,0.377836,0.183875,28,14
9,100,1.29671,0.144958,91.5511,1.89946,36.184,34.2791,0,0.03529,0.385042,0.17625,21,11
10,100,1.29433,0.145375,93.181,1.574,17.2493,15.6495,0,0.02071,0.383623,0.168333,20,10
11,100,1.29212,0.144123,90.7142,1.27558,13.5793,12.2425,0,0.015582,0.382911,0.178917,16,10
12,100,1.30475,0.143879,89.3994,0.981418,10.583,9.52866,0,0.010623,0.381832,0.171792,10,7
13,100,1.28117,0.142295,88.0542,0.666415,10.3486,9.55104,0,0.012712,0.378914,0.17125,8,6
14,100,1.274,0.142125,88.2425,0.579708,6.66196,5.95737,0,0.011542,0.377419,0.185375,8,6
15,100,1.32671,0.148539,93.3793,0.56967,6.09316,5.40321,0,0.011752,0.393501,0.190458,7,4
16,100,1.32596,0.147039,91.1515,0.510127,4.02704,3.40975,0,0.011168,0.39104,0.18075,6,4
17,100,1.30396,0.144997,87.5568,0.470912,3.06879,2.50917,0,0.011662,0.385295,0.175959,5,3
18,100,1.29113,0.143751,88.6491,0.349626,3.65412,3.22188,0,0.006458,0.3825,0.188209,4,2
19,100,1.32104,0.147793,86.8068,0.364292,2.25895,1.79509,0,0.005873,0.393001,0.176875,4,2
20,100,1.291,0.143626,86.3606,0.348916,1.81283,1.38396,0,0.005583,0.384664,0.183583,4,2
21,100,1.27733,0.141624,84.554,0.330876,1.561,1.1475,0,0.0055,0.378038,0.190834,5,3
22,100,1.33179,0.148083,95.421,0.353372,1.99683,1.54834,0,0.006038,0.392665,0.186,3,1
23,100,1.32438,0.146584,87.1533,0.27275,1.64683,1.30262,0,0.005249,0.389582,0.18325,4,2
24,100,1.31458,0.144415,87.7261,0.254708,1.20484,0.873794,0,0.004918,0.38417,0.178125,2,1
25,100,1.2965,0.14371,85.0466,0.192291,1.49887,1.22054,0,0.004498,0.383127,0.168875,2,1
26,100,1.29913,0.143955,85.4505,0.148712,1.09308,0.84925,0,0.003997,0.384628,0.171209,2,2
27,100,1.28867,0.14296,85.4312,0.084494,0.627041,0.44346,0,0.003211,0.381628,0.17425,1,1
28,100,1.29454,0.143289,85.1059,0.028328,0.451707,0.333374,0,0.002624,0.381251,0.163042,1,1
29,100,1.27417,0.141165,83.8473,0.013084,0.155918,0.075917,0,0.001956,0.376583,0.182666,0,0
30,100,1.29333,0.142832,84.1896,0.022127,0.241083,0.140376,0,0.002123,0.381623,0.171375,0,0
31,100,1.29971,0.143501,84.7289,0.032746,0.343915,0.217166,0,0.002873,0.384335,0.177375,1,1
32,100,1.29375,0.143334,84.4011,0.020587,0.244459,0.144498,0,0.002288,0.38229,0.172583,2,2
33,100,1.30783,0.144583,85.4751,0.014085,0.158171,0.073082,0,0.001923,0.394086,0.186542,0,0
34,100,1.31033,0.145827,84.759,0.015417,0.339707,0.249712,0,0.00204,0.387832,0.17775,0,0
35,100,1.319,0.145623,84.8952,0.021335,0.379666,0.2785,0,0.002458,0.389126,0.174833,0,0
36,100,1.31391,0.145872,84.7408,0.019794,0.386668,0.284832,0,0.002091,0.387832,0.173833,0,0
37,100,1.31475,0.144461,89.9145,0.022871,0.271667,0.158335,0,0.002831,0.404497,0.45175,0,0
38,100,1.44354,0.166792,120.436,0.025871,0.372207,0.226295,0,0.003706,0.436205,0.184916,1,1
39,100,1.44562,0.164001,108.028,0.019414,0.169544,0.063785,0,0.002498,0.411996,0.203,0,0
40,100,1.36392,0.148081,93.5091,0.025585,0.24925,0.135833,0,0.002625,0.396961,0.1975,0,0
41,100,1.32854,0.148543,87.1925,0.014418,0.157875,0.070416,0,0.002042,0.39404,0.174292,0,0
42,100,1.34704,0.149335,86.4972,0.015583,0.182706,0.089288,0,0.002081,0.398206,0.193292,0,0
43,100,1.34771,0.149374,86.3308,0.011874,0.139418,0.054752,0,0.002044,0.39696,0.1975,0,0
44,100,1.32159,0.145542,83.6591,0.016458,0.206787,0.115582,0,0.002083,0.390914,0.161209,0,0
45,100,1.26959,0.14075,79.8281,0.013165,0.45871,0.379043,0,0.002082,0.377207,0.149417,0,0
46,100,1.26996,0.140672,81.1755,0.008916,0.585335,0.514457,0,0.001876,0.376625,0.1575,0,0
47,100,1.29537,0.14246,82.2896,0.010835,0.308502,0.23271,0,0.001668,0.382129,0.151208,0,0
48,100,1.28529,0.142707,83.918,0.004372,0.080207,0.018291,0,0.001501,0.38254,0.151791,0,0
49,100,1.29084,0.14404,84.2152,0.007045,0.103081,0.035337,0,0.001743,0.383877,0.150292,0,0
50,100,1.29683,0.14433,83.6242,0.00404,0.079167,0.017043,0,0.001626,0.386041,0.15575,0,0
51,100,1.26837,0.141291,82.1032,0.00396,0.077411,0.017291,0,0.001585,0.376252,0.145083,0,0
